YEAR,TEAM NO,TEAM,SEED,ROUND,PRESEASON KADJ EM RANK,PRESEASON KADJ EM,PRESEASON KADJ O,PRESEASON KADJ O RANK,PRESEASON KADJ D,PRESEASON KADJ D RANK,PRESEASON KADJ T,PRESEASON KADJ T RANK,KADJ EM RANK CHANGE,KADJ EM CHANGE,KADJ T CHANGE
2024,1027,South Dakota St.,15,64,117,3.47,103.6,82,100.1,194,71,173,-21,-0.77,-3.1
2024,1026,Stetson,16,64,207,-2.99,101.3,119,104.2,311,69.2,315,-13,-1.52,-2.7
2024,1025,TCU,9,64,30,17.81,106.4,44,88.6,16,72,108,-13,-1.77,-2.2
2024,1024,Tennessee,2,8,8,22.83,108,33,85.2,2,69.6,285,3,3.78,-0.3
2024,1023,Texas,7,32,16,20.78,108.4,30,87.6,6,71.7,123,-9,-2.01,-4.3
2024,1022,Texas A&M,9,32,24,18.63,108.5,27,89.9,27,69.5,294,-11,-1.61,-3
2024,1021,Texas Tech,6,64,43,15.16,105.1,63,89.9,30,66.2,361,12,2.17,0.6
2024,1020,UAB,12,64,90,7.17,103.4,85,96.3,99,73.2,29,-16,-0.68,-5.4
2024,1019,Utah St.,8,32,101,5.21,101.6,113,96.4,103,70.8,201,50,9.67,-1.9
2024,1018,Vermont,13,64,137,2.48,101.2,120,98.7,155,68.9,325,33,4.12,-5.6
2024,1017,Virginia,10,68,33,17.14,106.6,42,89.4,25,65.7,362,-35,-5.34,-5.5
2024,1016,Wagner,16,64,295,-10.24,91.3,326,101.6,228,67.4,355,3,0.24,-5.8
2024,1015,Washington St.,7,32,84,7.6,102.7,99,95.1,83,69.5,300,42,8.73,-4.6
2024,1014,Western Kentucky,15,64,173,-0.1,98.4,189,98.5,148,72.3,82,38,3,3
2024,1013,Wisconsin,5,64,20,20.01,108.2,31,88.2,13,68.2,346,3,0.05,-2.7
2024,1012,Yale,13,32,71,10,105,66,95,82,70.7,204,-19,-0.93,-5.8
2023,1011,Alabama,1,16,17,20.63,111.3,13,90.7,34,75.6,4,13,6.65,-3
2023,1010,Arizona,2,64,10,23.21,112.7,6,89.5,20,75.1,9,-1,-1.31,-3.1
2023,1009,Arizona St.,11,64,75,11.21,103,108,91.8,48,72.6,85,20,2.05,-4.5
2023,1008,Arkansas,8,16,14,22.79,109.4,25,86.6,6,74.1,20,-8,-4.74,-4.5
2023,1007,Auburn,9,32,13,22.92,111.4,12,88.5,14,73.7,37,-19,-6.14,-6.1
2023,1006,Baylor,3,32,6,25.52,113.7,4,88.2,12,71.2,217,-10,-5.84,-4.7
2023,1005,Boise St.,10,64,87,9.01,102.6,112,93.6,75,70.1,299,50,6.84,-3.9
2023,1004,Colgate,15,64,115,5.49,103.2,101,97.7,138,71.6,170,0,-0.25,-4.1
2023,1003,College of Charleston,12,64,195,-3.11,98.6,179,101.7,232,76.1,1,124,14.96,-5.3
2023,1002,Connecticut,4,1,27,19.17,108.8,30,89.6,25,70.1,291,26,10.69,-3.5
2023,1001,Creighton,6,8,23,19.36,108.8,29,89.5,21,71.8,153,11,2.47,-3.9
2023,1000,Drake,12,64,79,10.65,106.9,49,96.3,109,71,237,10,1.26,-4.7
2023,999,Duke,5,32,15,22.27,113.8,3,91.6,42,71.7,163,-3,-2.92,-6.9
2023,998,Fairleigh Dickinson,16,32,355,-20.45,89,350,109.4,354,72.5,95,90,12.09,-3.8
2023,997,Florida Atlantic,9,4,89,8.63,104.7,75,96.1,108,71.7,164,72,10.75,-4.1
2023,996,Furman,13,32,69,11.76,107.6,42,95.8,102,70.2,287,-23,-3.75,-1.9
2023,995,Gonzaga,3,8,3,27.67,117.4,1,89.7,26,75.3,7,-5,-4.65,-4.9
2023,994,Grand Canyon,14,64,96,7.67,102.5,114,94.8,91,70,301,-12,-1.79,-5.1
2023,993,Houston,1,16,7,24.3,111,17,86.7,7,69.1,339,5,3.41,-5.6
2023,992,Howard,16,64,239,-5.84,95.6,236,101.5,222,73.7,36,21,2.46,-4.7
2023,991,Illinois,9,64,33,17.68,107.5,43,89.8,27,71.8,148,-2,-1.46,-2.3
2023,990,Indiana,4,32,12,23.02,109.8,22,86.7,8,71.6,171,-18,-5.99,-3.8
2023,989,Iona,13,64,116,5.39,101.3,132,95.9,105,72.4,101,40,5.96,-3.8
2023,988,Iowa,8,64,22,19.37,113,5,93.6,76,73.4,47,-19,-3.98,-3.9
2023,987,Iowa St.,6,64,62,12.58,103.4,99,90.8,36,71.2,214,33,4.46,-7.1
2023,986,Kansas,1,32,8,24.22,111,16,86.8,9,72.8,74,-1,-1.38,-3.6
2023,985,Kansas St.,3,8,77,10.91,103.6,94,92.7,67,71.5,181,56,7.6,-1.4
2023,984,Kennesaw St.,14,64,207,-3.9,98.2,193,102.1,241,71.1,224,84,7.95,-2.7
2023,983,Kent St.,13,64,123,4.2,103,107,98.8,157,71.1,227,45,7,-3.4
2023,982,Kentucky,6,32,1,29.78,114.5,2,84.7,3,71.5,175,-26,-12.38,-5.7
2023,981,Louisiana Lafayette,13,64,145,1.68,101.2,135,99.5,171,73.7,35,57,6.83,-5.4
2023,980,Marquette,2,32,76,11.07,104.6,78,93.5,71,73,66,66,11.31,-4.9
2023,979,Maryland,8,32,56,14.16,106.5,53,92.3,60,71.7,165,33,3.83,-7.5
2023,978,Memphis,8,64,34,17.51,106,60,88.5,15,74.2,19,14,1.02,-3
2023,977,Miami FL,5,4,42,16.07,108.2,32,92.1,56,71.7,166,18,1.87,-2.8
2023,976,Michigan St.,7,16,31,18.15,109.4,26,91.2,38,71.6,168,5,-0.54,-7
2023,975,Mississippi St.,11,68,53,14.69,106.4,55,91.7,47,70.2,284,0,-1.19,-6.6
