YEAR,TEAM NO,TEAM,SEED,ROUND,RPPF RATING RANK,RPPF RATING,NPB RATING RANK,NPB RATING,RADJ O RANK,RADJ O,RADJ D RANK,RADJ D,RADJ EM RANK,RADJ EM,R PACE RANK,R PACE,R SOS RANK,R SOS,STROE RANK,STROE,STRDE RANK,STRDE,STRT+ RANK,STREM RANK,STREM,STREM RANK 2
2022,919,Jacksonville St.,15,64,126,0.6488,133,0.7527,140,104.6,173,103,147,1.6,278,65.2,254,0.5199,164,73.39,218,100.59,178,145,-27.2,191
2022,918,Kansas,1,1,4,0.9001,5,0.9306,6,120.4,29,93.8,6,26.6,66,69.2,2,0.7541,5,99.13,21,82.41,12,9,16.72,5
2022,917,Kentucky,2,64,5,0.8919,4,0.9376,5,120.7,28,93.5,4,27.2,154,67.4,42,0.6983,4,100.15,20,82.26,8,4,17.89,4
2022,916,Longwood,14,64,159,0.5995,144,0.7411,117,105.7,189,103.8,144,1.9,234,66.1,326,0.473,128,75.62,205,99.92,172,144,-24.3,163
2022,915,Loyola Chicago,10,64,29,0.8009,33,0.87,47,110.9,19,92.6,24,18.3,296,64.8,114,0.6133,73,80.69,39,86.31,24,22,-5.62,45
2022,914,LSU,6,64,21,0.8161,17,0.8871,79,108.3,6,89,20,19.3,88,68.7,21,0.7125,59,81.91,4,73.83,9,21,8.08,15
2022,913,Marquette,9,64,65,0.7479,63,0.8418,49,110.5,52,96.3,48,14.2,24,70.8,18,0.7168,34,86.17,23,82.78,39,58,3.39,23
2022,912,Memphis,9,32,28,0.8022,49,0.8492,44,111.1,30,93.9,26,17.2,35,70.3,55,0.6885,28,87,15,80.59,18,35,6.41,18
2022,911,Miami FL,10,8,49,0.7686,40,0.8579,17,115,147,101.9,60,13.1,167,67.3,59,0.6855,21,88.92,167,97.12,113,61,-8.2,61
2022,910,Michigan,11,16,26,0.8053,53,0.8481,18,114.7,89,98.6,32,16.1,212,66.5,3,0.741,26,88.05,89,91.75,54,32,-3.7,37
2022,909,Michigan St.,7,32,35,0.7838,47,0.8506,42,111.3,54,96.4,42,14.9,142,67.5,8,0.7287,41,84.26,53,87.86,41,39,-3.6,36
2022,908,Montana St.,14,64,134,0.6362,109,0.7772,145,104.5,133,101.2,129,3.3,142,67.5,306,0.4848,131,75.33,104,93.03,115,127,-17.7,118
